INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 08:37:48,270 INFO werkzeug Thread-38 : 127.0.0.1 - - [15/Dec/2022 08:37:48] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:37:50,192 INFO app Thread-39 : Item Removed from List
2022-12-15 08:37:50,193 INFO werkzeug Thread-39 : 127.0.0.1 - - [15/Dec/2022 08:37:50] "[32mPOST /remove_from_cart/1 HTTP/1.1[0m" 302 -
2022-12-15 08:37:50,244 INFO werkzeug Thread-40 : 127.0.0.1 - - [15/Dec/2022 08:37:50] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:37:50,265 INFO werkzeug Thread-41 : 127.0.0.1 - - [15/Dec/2022 08:37:50] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:37:50,266 INFO werkzeug Thread-42 : 127.0.0.1 - - [15/Dec/2022 08:37:50] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:37:50,279 INFO werkzeug Thread-43 : 127.0.0.1 - - [15/Dec/2022 08:37:50] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:44:21,853 INFO app Thread-46 : Logged Out
2022-12-15 08:44:21,864 INFO werkzeug Thread-46 : 127.0.0.1 - - [15/Dec/2022 08:44:21] "[32mGET /logout HTTP/1.1[0m" 302 -
2022-12-15 08:44:21,868 INFO werkzeug Thread-47 : 127.0.0.1 - - [15/Dec/2022 08:44:21] "GET / HTTP/1.1" 200 -
2022-12-15 08:44:21,891 INFO werkzeug Thread-48 : 127.0.0.1 - - [15/Dec/2022 08:44:21] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 08:44:21,891 INFO werkzeug Thread-49 : 127.0.0.1 - - [15/Dec/2022 08:44:21] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 08:44:21,892 INFO werkzeug Thread-50 : 127.0.0.1 - - [15/Dec/2022 08:44:21] "GET /static/sld3.jpg HTTP/1.1" 200 -
